holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
GLEN EAGLE ADVISORS LLC,EQUITY,,0,,-500.0,NO_CHANGE,2020-06-30,,
SIMPLEX TRADING LLC,EQUITY,,0,,1075500.0,NO_CHANGE,2020-06-30,,
SIMPLEX TRADING LLC,EQUITY,,0,,555000.0,NO_CHANGE,2020-06-30,,
EQUITEC PROPRIETARY MARKETS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
HRT FINANCIAL LP,EQUITY,,0,,51400.0,NO_CHANGE,2020-06-30,,
BNP PARIBAS ASSET MANAGEMENT HOLDING S.A.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
J. GOLDMAN & COMPANY LP,EQUITY,,0,,870300.0,NO_CHANGE,2020-06-30,,
PARALLAX VOLATILITY ADVISERS L.P.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
WEALTHFRONT ADVISERS LLC,EQUITY,,0,,5763.0,NO_CHANGE,2020-06-30,,
METLIFE INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-16169.0,NO_CHANGE,2020-06-30,,
CREATIVE PLANNING,EQUITY,,0,,-5829.0,NO_CHANGE,2020-06-30,,
ZURCHER KANTONALBANK (ZURICH CANTONALBANK),EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
COVALENT PARTNERS LLC,EQUITY,,0,,-336000.0,NO_CHANGE,2020-06-30,,
FOCUS PARTNERS WEALTH,EQUITY,,0,,50038.0,NO_CHANGE,2020-06-30,,
ADVISORNET FINANCIAL INC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
ALLWORTH FINANCIAL LP,EQUITY,,0,,2.0,NO_CHANGE,2020-06-30,,
ARIZONA STATE RETIREMENT SYSTEM,EQUITY,,0,,2113.0,NO_CHANGE,2020-06-30,,
CSS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
CSS LLC,EQUITY,,0,,314600.0,NO_CHANGE,2020-06-30,,
CSS LLC,EQUITY,,0,,-1615.0,NO_CHANGE,2020-06-30,,
SMITHFIELD TRUST COMPANY,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
JFS WEALTH ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
COLONIAL TRUST ADVISORS,EQUITY,,0,,700.0,NO_CHANGE,2020-06-30,,
TOWER RESEARCH CAPITAL LLC (TRC),EQUITY,,0,,-29112.0,NO_CHANGE,2020-06-30,,
ADVISORY SERVICES NETWORK LLC,EQUITY,,0,,4980.0,NO_CHANGE,2020-06-30,,
SWISS NATIONAL BANK,EQUITY,,0,,14500.0,NO_CHANGE,2020-06-30,,
ASSET DEDICATION LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
CWM LLC,EQUITY,,0,,-48.0,NO_CHANGE,2020-06-30,,
FIRST HORIZON ADVISORS INC.,EQUITY,,0,,-19.0,NO_CHANGE,2020-06-30,,
TD PRIVATE CLIENT WEALTH LLC,EQUITY,,0,,214.0,NO_CHANGE,2020-06-30,,
WALDRON PRIVATE WEALTH LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
LANDSCAPE CAPITAL MANAGEMENT L.L.C.,EQUITY,,0,,414840.0,NO_CHANGE,2020-06-30,,
PRIVATE ADVISOR GROUP LLC,EQUITY,,0,,40.0,NO_CHANGE,2020-06-30,,
TIDAL INVESTMENTS LLC,EQUITY,,0,,4440.0,NO_CHANGE,2020-06-30,,
POINT72 ASSET MANAGEMENT L.P.,EQUITY,,0,,871877.0,NO_CHANGE,2020-06-30,,
MCF ADVISORS LLC,EQUITY,,0,,16754.0,NO_CHANGE,2020-06-30,,
WINCH ADVISORY SERVICES LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
JANE STREET GROUP LLC,EQUITY,,0,,2798775.0,NO_CHANGE,2020-06-30,,
JANE STREET GROUP LLC,EQUITY,,0,,-475300.0,NO_CHANGE,2020-06-30,,
JANE STREET GROUP LLC,EQUITY,,0,,-26800.0,NO_CHANGE,2020-06-30,,
ONE CAPITAL MANAGEMENT LLC,EQUITY,,0,,15000.0,NO_CHANGE,2020-06-30,,
GARDE CAPITAL INC.,EQUITY,,0,,-2.0,NO_CHANGE,2020-06-30,,
TRADEWINDS CAPITAL MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
PACER ADVISORS INC.,EQUITY,,0,,-160000.0,NO_CHANGE,2020-06-30,,
MARATHON TRADING INVESTMENT MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
MARATHON TRADING INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-26171.0,NO_CHANGE,2020-06-30,,
MARATHON TRADING INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-10800.0,NO_CHANGE,2020-06-30,,
CRESCENT PARK MANAGEMENT L.P.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
CFO4LIFE GROUP LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
NEWEDGE ADVISORS LLC,EQUITY,,0,,-2.0,NO_CHANGE,2020-06-30,,
