holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
MIRAE ASSET GLOBAL ETFS HOLDINGS LTD.,EQUITY,,0,,-36318.0,NO_CHANGE,2012-03-31,,
EVERSOURCE WEALTH ADVISORS LLC,EQUITY,,0,,35.0,NO_CHANGE,2012-03-31,,
BOGART WEALTH LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
CLOSE ASSET MANAGEMENT LTD,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
STEWARD PARTNERS INVESTMENT ADVISORY LLC,EQUITY,,0,,277.0,NO_CHANGE,2012-03-31,,
CENTERSTAR ASSET MANAGEMENT LLC,EQUITY,,0,,30000.0,NO_CHANGE,2012-03-31,,
KEYSTONE FINANCIAL GROUP,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
GRADIENT CAPITAL ADVISORS LLC,EQUITY,,0,,10004.0,NO_CHANGE,2012-03-31,,
LARSON FINANCIAL GROUP LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
SOUND INCOME STRATEGIES LLC,EQUITY,,0,,14.0,NO_CHANGE,2012-03-31,,
FIRST COMMAND ADVISORY SERVICES INC.,EQUITY,,0,,-100.0,NO_CHANGE,2012-03-31,,
CREATIVE FINANCIAL DESIGNS INC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
NVWM LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
ROCKEFELLER CAPITAL MANAGEMENT L.P.,EQUITY,,0,,109.0,NO_CHANGE,2012-03-31,,
ALTSHULER SHAHAM LTD,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
LEGACY FINANCIAL STRATEGIES LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
GLOBAL RETIREMENT PARTNERS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
FOUNDATIONS INVESTMENT ADVISORS LLC,EQUITY,,0,,-41118.0,NO_CHANGE,2012-03-31,,
WALLEYE CAPITAL LLC,EQUITY,,0,,600.0,NO_CHANGE,2012-03-31,,
WALLEYE CAPITAL LLC,EQUITY,,0,,-58858.0,NO_CHANGE,2012-03-31,,
CONCENTRUM WEALTH MANAGEMENT,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
AVANTAX ADVISORY SERVICES INC.,EQUITY,,0,,14693.0,NO_CHANGE,2012-03-31,,
HHM WEALTH ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
ATOM INVESTORS LP,EQUITY,,0,,128785.0,NO_CHANGE,2012-03-31,,
WEALTHSPIRE ADVISORS LLC,EQUITY,,0,,669.0,NO_CHANGE,2012-03-31,,
