Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Benjamin edwards inc,CLAYTON,MO,"",21.0,0.0,0.0,0.0,638,636,0.0,0.0,MO,0.0000106,Q2 2021,132178,0001451623,,000146936,ONE NORTH BRENTWOOD BOULEVARD,SUITE 850,63105
Blackrock  inc,NEW YORK,NY,"",8655748.0,52973177.0,0.0014,0.0006,2437,2923,6045913.0,231.6588213,NY,4.3637242,Q1 2014,373,0002012383,,000109391,50 HUDSON YARDS, ,10001
Blue trust  inc.,ALPHARETTA,GA,"",23.0,0.0,0.0,0.0,2637,1883,-91.0,-79.8245614,GA,0.0000116,Q2 2022,514139,0001856022,,,1125 SANCTUARY PARKWAY,SUITE 500,30009
Blueshift asset management  llc,RED BANK,NJ,"",0.0,0.0,,0.2501,"",116,-53008.0,-100.0,NJ,0.0000000,Q2 2022,431075,0001727827,,000290637,"151 BODMAN PLACE, SUITE 301", ,07701
Bogart wealth  llc,MCLEAN,VA,"",100.0,612.0,0.0,,992,,100.0,,VA,0.0000504,Q4 2023,376049,0001715740,,000283886,"2010 CORPORATE RIDGE, SUITE 900", ,22102
Boothbay fund management  llc,NEW YORK,NY,"",26647.0,163080.0,0.0042,0.003,1364,1521,11079.0,71.1652107,NY,0.0134339,Q3 2023,289317,0001549230,,000163706,140 EAST 45TH STREET,16TH FLOOR,10017
Brevan howard capital management lp,ST. HELIER, ,PUT,250000.0,1530000.0,0.0187,0.0257,160,61,0.0,0.0, ,N/A,Q2 2023,107478,0001512857,,000161292,6TH FLOOR,37 ESPLANADE,JE2 3QA
Brown brothers harriman & company,NEW YORK,NY,"",500.0,3060.0,0.0,0.0,1035,1053,0.0,0.0,NY,0.0002521,Q4 2021,460,0000014661,,,140 BROADWAY, ,10005-1101
Btg pactual global asset management ltd,HAMILTON,D0,PUT,50000.0,306000.0,0.1181,0.0901,54,66,0.0,0.0,D0,N/A,Q3 2023,199802,0001567992,981088423,000159873,CLARENDON HOUSE,2 CHURCH STREET,HM 11
Buck wealth strategies  llc,DENVER,CO,"",0.0,0.0,,0.0005,"",324,-166.0,-100.0,CO,0.0000000,Q2 2023,650146,0001973259,,000322138,4600 S. SYRACUSE ST,SUITE 650,80237
Byrne asset management llc,KINGSTON,NJ,"",0.0,0.0,,0.0132,"",294,-2000.0,-100.0,NJ,0.0000000,Q3 2023,557676,0001911322,,,"4420 ROUTE 27, SUITE 3",PO BOX 573,08528
Caas capital management lp,NEW YORK,NY,"",24200.0,148104.0,0.0157,,376,,24200.0,,NY,0.0122002,Q4 2023,471556,0001802881,834616693,000306096,800 THIRD AVE 26TH FLOOR, ,10022
California public employees retirement system,SACRAMENTO,CA,"",263623.0,1613373.0,0.0012,0.0006,1163,1177,176337.0,202.0220883,CA,0.1329034,Q1 2014,501,0000919079,,,400 Q ST,SUITE 4800,95811
California state teachers retirement system,WEST SACRAMENTO,CA,"",209601.0,1282758.0,0.0018,0.0018,1687,1703,64355.0,44.3075885,CA,0.1056686,Q1 2014,502,0001081019,946291617,,100 WATERFRONT PLACE, ,95605
Cambridge investment research advisors  inc.,FAIRFIELD,IA,"",10464.0,64000.0,0.0003,,3084,,10464.0,,IA,0.0052753,Q2 2017,509,0001419186,,,1776 PLEASANT PLAIN ROAD, ,52556
Campbell & company investment adviser llc,BALTIMORE,MD,"",57749.0,353424.0,0.0318,,855,,57749.0,,MD,0.0291137,Q4 2023,515,0001353570,,000134332,2850 QUARRY LAKE DRIVE, ,21209
Canada pension plan investment board,TORONTO ONTARIO,A6,"",717138.0,4388885.0,0.0055,0.0082,684,584,18500.0,2.6480094,A6,0.3615392,Q3 2023,517,0001283718,,,ONE QUEEN STREET EAST,STE 2500,M5C2W5
Cape investment advisory  inc.,MCDONOUGH,GA,"",16.0,98.0,0.0,0.0001,1113,907,0.0,0.0,GA,0.0000081,Q1 2023,648702,0001944437,,000146384,1600 PENNSYLVANIA AVE, ,30253
Capital fund management s.a.,PARIS,I0,"",0.0,0.0,,0.0009,"",1888,-30986.0,-100.0,I0,0.0000000,Q3 2022,535,0001323645,,,23 RUE DE L'UNIVERSITE, ,75007
Capula management ltd,GRAND CAYMAN,E9,"",229827.0,1406541.0,0.0563,0.0041,68,482,205638.0,850.1302245,E9,0.1158654,Q2 2023,328136,0001557017,,000163729,PO BOX 309,UGLAND HOUSE,KY1-1104
Carmel capital partners  llc,SAN DIEGO,CA,"",0.0,0.0,,0.0011,"",616,-306.0,-100.0,CA,0.0000000,Q1 2023,553602,0001900481,,000123907,"12760 HIGH BLUFF DRIVE, SUITE 210", ,92130
